Pergunta,Resposta
Onde encontro o curso de NR 9?,O curso de NR 9 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 9?,Consulte o portal interno de treinamentos para acessar o curso de NR 9: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 9 é obrigatório?,A obrigatoriedade do curso de NR 9 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 9 tem reciclagem?,"Caso o curso de NR 9 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 10?,Verifique no portal interno de treinamentos se o curso de NR 10 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 10?,O curso de NR 10 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 10?,Consulte o portal interno de treinamentos para acessar o curso de NR 10: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 10 é obrigatório?,A obrigatoriedade do curso de NR 10 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 10 tem reciclagem?,"Caso o curso de NR 10 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 11?,Verifique no portal interno de treinamentos se o curso de NR 11 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 11?,O curso de NR 11 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 11?,Consulte o portal interno de treinamentos para acessar o curso de NR 11: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 11 é obrigatório?,A obrigatoriedade do curso de NR 11 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 11 tem reciclagem?,"Caso o curso de NR 11 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 12?,Verifique no portal interno de treinamentos se o curso de NR 12 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 12?,O curso de NR 12 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 12?,Consulte o portal interno de treinamentos para acessar o curso de NR 12: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 12 é obrigatório?,A obrigatoriedade do curso de NR 12 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 12 tem reciclagem?,"Caso o curso de NR 12 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 13?,Verifique no portal interno de treinamentos se o curso de NR 13 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 13?,O curso de NR 13 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 13?,Consulte o portal interno de treinamentos para acessar o curso de NR 13: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 13 é obrigatório?,A obrigatoriedade do curso de NR 13 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 13 tem reciclagem?,"Caso o curso de NR 13 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 14?,Verifique no portal interno de treinamentos se o curso de NR 14 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 14?,O curso de NR 14 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 14?,Consulte o portal interno de treinamentos para acessar o curso de NR 14: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 14 é obrigatório?,A obrigatoriedade do curso de NR 14 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 14 tem reciclagem?,"Caso o curso de NR 14 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 15?,Verifique no portal interno de treinamentos se o curso de NR 15 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 15?,O curso de NR 15 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 15?,Consulte o portal interno de treinamentos para acessar o curso de NR 15: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 15 é obrigatório?,A obrigatoriedade do curso de NR 15 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 15 tem reciclagem?,"Caso o curso de NR 15 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 16?,Verifique no portal interno de treinamentos se o curso de NR 16 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 16?,O curso de NR 16 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 16?,Consulte o portal interno de treinamentos para acessar o curso de NR 16: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 16 é obrigatório?,A obrigatoriedade do curso de NR 16 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 16 tem reciclagem?,"Caso o curso de NR 16 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 17?,Verifique no portal interno de treinamentos se o curso de NR 17 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 17?,O curso de NR 17 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 17?,Consulte o portal interno de treinamentos para acessar o curso de NR 17: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 17 é obrigatório?,A obrigatoriedade do curso de NR 17 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 17 tem reciclagem?,"Caso o curso de NR 17 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 18?,Verifique no portal interno de treinamentos se o curso de NR 18 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 18?,O curso de NR 18 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 18?,Consulte o portal interno de treinamentos para acessar o curso de NR 18: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 18 é obrigatório?,A obrigatoriedade do curso de NR 18 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 18 tem reciclagem?,"Caso o curso de NR 18 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 19?,Verifique no portal interno de treinamentos se o curso de NR 19 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 19?,O curso de NR 19 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 19?,Consulte o portal interno de treinamentos para acessar o curso de NR 19: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 19 é obrigatório?,A obrigatoriedade do curso de NR 19 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 19 tem reciclagem?,"Caso o curso de NR 19 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 20?,Verifique no portal interno de treinamentos se o curso de NR 20 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 20?,O curso de NR 20 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 20?,Consulte o portal interno de treinamentos para acessar o curso de NR 20: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 20 é obrigatório?,A obrigatoriedade do curso de NR 20 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 20 tem reciclagem?,"Caso o curso de NR 20 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 21?,Verifique no portal interno de treinamentos se o curso de NR 21 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 21?,O curso de NR 21 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 21?,Consulte o portal interno de treinamentos para acessar o curso de NR 21: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 21 é obrigatório?,A obrigatoriedade do curso de NR 21 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 21 tem reciclagem?,"Caso o curso de NR 21 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 22?,Verifique no portal interno de treinamentos se o curso de NR 22 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 22?,O curso de NR 22 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 22?,Consulte o portal interno de treinamentos para acessar o curso de NR 22: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 22 é obrigatório?,A obrigatoriedade do curso de NR 22 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 22 tem reciclagem?,"Caso o curso de NR 22 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 23?,Verifique no portal interno de treinamentos se o curso de NR 23 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 23?,O curso de NR 23 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 23?,Consulte o portal interno de treinamentos para acessar o curso de NR 23: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 23 é obrigatório?,A obrigatoriedade do curso de NR 23 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 23 tem reciclagem?,"Caso o curso de NR 23 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 24?,Verifique no portal interno de treinamentos se o curso de NR 24 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 24?,O curso de NR 24 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 24?,Consulte o portal interno de treinamentos para acessar o curso de NR 24: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 24 é obrigatório?,A obrigatoriedade do curso de NR 24 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 24 tem reciclagem?,"Caso o curso de NR 24 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 25?,Verifique no portal interno de treinamentos se o curso de NR 25 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 25?,O curso de NR 25 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 25?,Consulte o portal interno de treinamentos para acessar o curso de NR 25: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 25 é obrigatório?,A obrigatoriedade do curso de NR 25 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 25 tem reciclagem?,"Caso o curso de NR 25 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 26?,Verifique no portal interno de treinamentos se o curso de NR 26 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 26?,O curso de NR 26 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 26?,Consulte o portal interno de treinamentos para acessar o curso de NR 26: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 26 é obrigatório?,A obrigatoriedade do curso de NR 26 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 26 tem reciclagem?,"Caso o curso de NR 26 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 27?,Verifique no portal interno de treinamentos se o curso de NR 27 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 27?,O curso de NR 27 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 27?,Consulte o portal interno de treinamentos para acessar o curso de NR 27: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 27 é obrigatório?,A obrigatoriedade do curso de NR 27 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 27 tem reciclagem?,"Caso o curso de NR 27 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 28?,Verifique no portal interno de treinamentos se o curso de NR 28 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 28?,O curso de NR 28 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 28?,Consulte o portal interno de treinamentos para acessar o curso de NR 28: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 28 é obrigatório?,A obrigatoriedade do curso de NR 28 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 28 tem reciclagem?,"Caso o curso de NR 28 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 29?,Verifique no portal interno de treinamentos se o curso de NR 29 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 29?,O curso de NR 29 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 29?,Consulte o portal interno de treinamentos para acessar o curso de NR 29: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 29 é obrigatório?,A obrigatoriedade do curso de NR 29 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 29 tem reciclagem?,"Caso o curso de NR 29 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 30?,Verifique no portal interno de treinamentos se o curso de NR 30 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 30?,O curso de NR 30 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 30?,Consulte o portal interno de treinamentos para acessar o curso de NR 30: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 30 é obrigatório?,A obrigatoriedade do curso de NR 30 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 30 tem reciclagem?,"Caso o curso de NR 30 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 31?,Verifique no portal interno de treinamentos se o curso de NR 31 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 31?,O curso de NR 31 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
